央视,#genre#
CCTV1,http://us-sjc-bgp-2.openfrp.top:10180/test/cq.php?id=cctv1HD
CCTV2,http://us-sjc-bgp-2.openfrp.top:10180/test/cq.php?id=cctv2HD
CCTV3,http://us-sjc-bgp-2.openfrp.top:10180/test/cq.php?id=cctv3HD
CCTV4,http://us-sjc-bgp-2.openfrp.top:10180/test/cq.php?id=cctv4HD
CCTV5,http://us-sjc-bgp-2.openfrp.top:10180/test/cq.php?id=cctv5HD
CCTV6,http://us-sjc-bgp-2.openfrp.top:10180/test/cq.php?id=cctv6HD
CCTV7,http://us-sjc-bgp-2.openfrp.top:10180/test/cq.php?id=cctv7HD
CCTV8,http://us-sjc-bgp-2.openfrp.top:10180/test/cq.php?id=cctv8HD
CCTV9,http://us-sjc-bgp-2.openfrp.top:10180/test/cq.php?id=cctv9HD
CCTV10,http://us-sjc-bgp-2.openfrp.top:10180/test/cq.php?id=cctv10HD
CCTV11,http://us-sjc-bgp-2.openfrp.top:10180/test/cq.php?id=cctv11HD
CCTV12,http://us-sjc-bgp-2.openfrp.top:10180/test/cq.php?id=cctv12HD
CCTV13,http://us-sjc-bgp-2.openfrp.top:10180/test/cq.php?id=CCTVNewsHD
CCTV14,http://us-sjc-bgp-2.openfrp.top:10180/test/cq.php?id=cctvseHD
CCTV15,http://us-sjc-bgp-2.openfrp.top:10180/test/cq.php?id=cctv15HD
CCTV16,http://us-sjc-bgp-2.openfrp.top:10180/test/cq.php?id=cctv16HD
CCTV17,http://us-sjc-bgp-2.openfrp.top:10180/test/cq.php?id=cctv17HD
CCTV5+,http://us-sjc-bgp-2.openfrp.top:10180/test/cq.php?id=cctv5SportHD
CCTV 4欧洲,http://15.152.107.157:10180/test/migu.php?id=cctv4o
CCTV 4美洲,http://15.152.107.157:10180/test/migu.php?id=cctv4a
CCTV1,http://rihou.cc:61/qiepian/bestv切片.php?id=cctv1hd8m/8000000
CCTV2,http://rihou.cc:61/qiepian/bestv切片.php?id=cctv2hd8m/8000000
CCTV3,http://rihou.cc:61/qiepian/bestv切片.php?id=cctv38m/8000000
CCTV4,http://rihou.cc:61/qiepian/bestv切片.php?id=cctv4hd8m/8000000
CCTV5,http://rihou.cc:61/qiepian/bestv切片.php?id=cctv58m/8000000
CCTV5+,http://rihou.cc:61/qiepian/bestv切片.php?id=cctv5phd8m/8000000
CCTV6,http://rihou.cc:61/qiepian/bestv切片.php?id=cctv6hd8m/8000000
CCTV7,http://rihou.cc:61/qiepian/bestv切片.php?id=cctv7hd8m/8000000
CCTV8,http://rihou.cc:61/qiepian/bestv切片.php?id=cctv8hd8m/8000000
CCTV9,http://rihou.cc:61/qiepian/bestv切片.php?id=cctv9hd8m/8000000
CCTV10,http://rihou.cc:61/qiepian/bestv切片.php?id=cctv10hd8m/8000000
CCTV11,http://rihou.cc:61/qiepian/bestv切片.php?id=cctv11hd8m/8000000
CCTV12,http://rihou.cc:61/qiepian/bestv切片.php?id=cctv12hd8m/8000000
CCTV13,http://rihou.cc:61/qiepian/bestv切片.php?id=cctv13xwhd8m/8000000
CCTV14,http://rihou.cc:61/qiepian/bestv切片.php?id=cctvsehd8m/8000000
CCTV15,http://rihou.cc:61/qiepian/bestv切片.php?id=cctv15hd8m/8000000
CCTV16,http://rihou.cc:61/qiepian/bestv切片.php?id=cctv16hd8m/8000000
CCTV17,http://rihou.cc:61/qiepian/bestv切片.php?id=cctv17hd8m/8000000
CCTV16 4K,http://rihou.cc:61/qiepian/bestv切片.php?id=cctv16hd4k/15000000
CCTV 4K,http://rihou.cc:61/qiepian/bestv切片.php?id=cctv4k/15000000
CCTV1,http://rihou.cc:61/qiepian/as.php?id=cctv1hd
CCTV1,http://rihou.cc:61/qiepian/as.php?id=cctv1
CCTV2,http://rihou.cc:61/qiepian/as.php?id=cctv2hd
CCTV2,http://rihou.cc:61/qiepian/as.php?id=cctv2
CCTV3,http://rihou.cc:61/qiepian/as.php?id=cctv3hd
CCTV3,http://rihou.cc:61/qiepian/as.php?id=cctv3
CCTV5,http://rihou.cc:61/qiepian/as.php?id=cctv5hd
CCTV5,http://rihou.cc:61/qiepian/as.php?id=cctv5
CCTV5+,http://rihou.cc:61/qiepian/as.php?id=cctv5p
CCTV6,http://rihou.cc:61/qiepian/as.php?id=cctv6hd
CCTV6,http://rihou.cc:61/qiepian/as.php?id=cctv6
CCTV8,http://rihou.cc:61/qiepian/as.php?id=cctv8
CCTV9,http://rihou.cc:61/qiepian/as.php?id=cctv9hd
CCTV9,http://rihou.cc:61/qiepian/as.php?id=cctv9
CCTV10,http://rihou.cc:61/qiepian/as.php?id=cctv10
CCTV11,http://rihou.cc:61/qiepian/as.php?id=cctv11hd
CCTV11,http://rihou.cc:61/qiepian/as.php?id=cctv11
CCTV12,http://rihou.cc:61/qiepian/as.php?id=cctv12hd
CCTV12,http://rihou.cc:61/qiepian/as.php?id=cctv12
CCTV13,http://rihou.cc:61/qiepian/as.php?id=cctv13hd
CCTV13,http://rihou.cc:61/qiepian/as.php?id=cctv13
CCTV14,http://rihou.cc:61/qiepian/as.php?id=cctv14
CCTV15,http://rihou.cc:61/qiepian/as.php?id=cctv15hd
CCTV15,http://rihou.cc:61/qiepian/as.php?id=cctv15
CCTV1,http://rihou.cc:61/qiepian/bestv.php?id=cctv1
CCTV2,http://rihou.cc:61/qiepian/bestv.php?id=cctv2
CCTV3,http://rihou.cc:61/qiepian/bestv.php?id=cctv3
CCTV4,http://rihou.cc:61/qiepian/bestv.php?id=cctv4
CCTV5,http://rihou.cc:61/qiepian/bestv.php?id=cctv5
CCTV5+,http://rihou.cc:61/qiepian/bestv.php?id=cctv5p
CCTV5+,http://rihou.cc:61/qiepian/bestv.php?id=cctv5p2
CCTV6,http://rihou.cc:61/qiepian/bestv.php?id=cctv6
CCTV7,http://rihou.cc:61/qiepian/bestv.php?id=cctv7
CCTV8,http://rihou.cc:61/qiepian/bestv.php?id=cctv8
CCTV9,http://rihou.cc:61/qiepian/bestv.php?id=cctv9
CCTV10,http://rihou.cc:61/qiepian/bestv.php?id=cctv10
CCTV11,http://rihou.cc:61/qiepian/bestv.php?id=cctv11
CCTV12,http://rihou.cc:61/qiepian/bestv.php?id=cctv12
CCTV13,http://rihou.cc:61/qiepian/bestv.php?id=cctv13
CCTV14,http://rihou.cc:61/qiepian/bestv.php?id=cctv14
CCTV15,http://rihou.cc:61/qiepian/bestv.php?id=cctv15
CCTV16,http://rihou.cc:61/qiepian/bestv.php?id=cctv16
CCTV17,http://rihou.cc:61/qiepian/bestv.php?id=cctv17
CCTV 4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV 4K,http://rihou.cc:61/qiepian/bestv.php?id=CCTV4K
CCTV16 4K,http://rihou.cc:61/qiepian/bestv.php?id=cctv164k
CCTV5,http://111.20.40.173/PLTV/88888893/224/3221226395/index.m3u8
CCTV11,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226714/1.m3u8?
CCTV12,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226723/1.m3u8?
CCTV1,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226737/1.m3u8
CCTV2,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226739/1.m3u8?
CCTV3,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226720/1.m3u8
CCTV4,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226725/1.m3u8
CCTV5,http://111.20.40.173/PLTV/88888893/224/3221226395/index.m3u8
CCTV5,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226731/1.m3u8
CCTV5+,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226711/1.m3u8
CCTV6,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226699/1.m3u8
CCTV7,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226721/1.m3u8
CCTV8,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226715/1.m3u8
CCTV9,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226651/1.m3u8
CCTV10,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226708/1.m3u8
CCTV11,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226714/1.m3u8?
CCTV12,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226723/1.m3u8?
CCTV14,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226663/1.m3u8
CCTV16,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226825/1.m3u8?$8M1080
CCTV17,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226660/1.m3u8?
CCTV1,http://111.20.35.103:6610/yinhe/2/ch00000090990000001018/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV1,http://111.20.35.103:6610/yinhe/2/ch00000090990000001068/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV1,http://222.240.82.92:9901/tsfile/live/0001_1.m3u8
CCTV1,http://42.176.185.28:9901/tsfile/live/1022_1.m3u8
CCTV1,http://ktwlplkf.f3322.org:9901/tsfile/live/0001_1.m3u8
CCTV2,http://111.20.35.103:6610/yinhe/2/ch00000090990000001021/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV2,http://111.20.35.103:6610/yinhe/2/ch00000090990000001293/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV2,http://111.20.35.103:6610/yinhe/2/ch00000090990000001840/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV2,http://222.240.82.92:9901/tsfile/live/0002_1.m3u8
